imagefile,title,arg,subtitle
Management Tools/Cloud Billing API.png,Billing,/billing,sub
Identity & Security/Cloud IAM.png,IAM & admin,/billing,sub
Compute/App Engine.png,App Engine,/appengine,sub
Compute/Compute Engine.png,Compute Engine,/compute/instances,sub
Compute/Container Engine.png,Kubernetes Engine,/kubernetes,sub
Compute/Cloud Functions.png,Cloud Functions,/functions,sub
Storage & Databases/Cloud Bigtable.png,Bigtable,/bigtable,sub
Storage & Databases/Cloud Datastore.png,Datastore,/datastore,sub
#Storage & Databases/Cloud Firestore.png,Firestore,/firestore,sub
Storage & Databases/Cloud Filestore.png,Filestore,/filestore,sub
Storage & Databases/Cloud Storage.png,Storage,/storage,sub
Storage & Databases/Cloud SQL.png,SQL,/sql,sub
Storage & Databases/Cloud Spanner.png,Spanner,/spanner,sub
Storage & Databases/Cloud Memorystore.png,Memorystore,/memorystore,sub
Networking/Virtual Private Cloud.png,VPC Network,/networking,sub
Networking/Cloud Load Balancing.png,Network services,/net-services,sub
#Networking/Virtual Private Cloud.png,Hybrid Connectivity,/hybrid,sub
#Networking/Virtual Private Cloud.png,Network Service Tiers,/net-tier,sub
#Networking/Virtual Private Cloud.png,Network Security,/net-security,sub
Management Tools/StackDriver.png,Monitoring,/account/login,sub
Management Tools/Debugger.png,Debug,/debug,sub
Management Tools/Trace.png,Trace,/traces,sub
Management Tools/Logging.png,Logging,/logs,sub
Management Tools/Error Reporting.png,Error Reporting,/errors,sub
Management Tools/Logging.png,Profiler,/profiler,sub
Developer Tools/Container Builder.png,Cloud Build,/cloud-build,sub
#Developer Tools/Cloud Scheduler.png,Cloud Scheduler,/cloudscheduler,sub
#Developer Tools/Cloud Tasks.png,Cloud Tasks,/cloudtasks,sub
Developer Tools/Container Registry.png,Container Registry,/gcr,sub
#Developer Tools/Identity Platform.png,Identity Platform ,/customer-indentity,sub
Developer Tools/Cloud Deployment Manager.png,Deployment Manager,/dm,sub
#Developer Tools/Private Catalog.png,Private Catalog,/catalog,sub
API Platform & Ecosystems/Cloud Endpoints.png,Endpoints,/endpoints,sub
Big Data/Cloud Composer.png,Composer,/composer,sub
Big Data/Cloud Dataproc.png,Dataproc,/dataproc,sub
Big Data/Cloud PubSub.png,Pub/Sub,/cloudpubsub,sub
Big Data/Cloud Dataflow.png,Dataflow,/dataflow,sub
Big Data/BigQuery.png,BigQuery,/bigquery,sub
Internet of Things/Cloud IoT Core.png,IoT Core,/iot,sub
#Big Data/Cloud DataCatalog.png,DataCatalog,/datacatalog,sub
#Big Data/Cloud DataFusion.png,DataFusion,/data-fusion,sub
Big Data/Genomics.png,Genomics,/genomics,sub
#Big Data/Healthcare.png,Healthcare,/healthcare,sub
Big Data/Cloud Dataprep.png,Dataprep,/dataprep,sub
Cloud AI/Data Labeling.png,Data Labeling,/data-labeling,sub
Cloud AI/Cloud Machine Learning.png,AI Platform,/ai-platform,sub
Cloud AI/Cloud Natural Language API.png,Natural Language,/natural-language,sub
Cloud AI/Cloud Recommendation AI.png,Recommendations AI,/recommendation,sub
Cloud AI/Cloud AutoML.png,Tables,/automl-tables,sub
Cloud AI/Talent Solution.png,Talent Solution,/talent-solution,sub
Cloud AI/Cloud Translation API.png,Translation,/translation,sub
Cloud AI/Cloud Vision API.png,Vision,/vision,sub
Cloud AI/Cloud Video Intelligence API.png,Video Intelligence,/vide-intelligence,sub
